Velocity (km/s),Altitude (km)
7.411,104.228
7.411,104.203
7.411,104.178
7.411,104.153
7.411,104.128
7.411,104.103
7.411,104.078
7.411,104.053
7.411,104.028
7.411,104.003
7.411,103.978
7.411,103.952
7.411,103.927
7.411,103.902
7.411,103.876
7.411,103.851
7.411,103.825
7.411,103.8
7.411,103.774
7.41,103.749
7.41,103.723
7.41,103.697
7.41,103.672
7.41,103.646
7.41,103.62
7.41,103.594
7.41,103.568
7.41,103.542
7.41,103.516
7.41,103.49
7.41,103.464
7.41,103.438
7.41,103.412
7.41,103.385
7.41,103.359
7.41,103.333
7.41,103.306
7.41,103.28
7.41,103.254
7.41,103.227
7.41,103.201
7.409,103.174
7.409,103.147
7.409,103.121
7.409,103.094
7.409,103.067
7.409,103.04
7.409,103.013
7.409,102.986
7.409,102.959
7.409,102.932
7.409,102.905
7.409,102.878
7.409,102.851
7.409,102.824
7.409,102.796
7.409,102.769
7.409,102.742
7.409,102.714
7.409,102.687
7.409,102.659
7.408,102.632
7.408,102.604
7.408,102.576
7.408,102.549
7.408,102.521
7.408,102.493
7.408,102.465
7.408,102.437
7.408,102.409
7.408,102.381
7.408,102.353
7.408,102.325
7.408,102.297
7.408,102.268
7.408,102.24
7.408,102.212
7.408,102.183
7.407,102.155
7.407,102.126
7.407,102.098
7.407,102.069
7.407,102.04
7.407,102.012
7.407,101.983
7.407,101.954
7.407,101.925
7.407,101.896
7.407,101.867
7.407,101.838
7.407,101.809
7.407,101.78
7.407,101.751
7.406,101.721
7.406,101.692
7.406,101.663
7.406,101.633
7.406,101.604
7.406,101.574
7.406,101.544
7.406,101.515
7.406,101.485
7.406,101.455
7.406,101.425
7.406,101.395
7.406,101.365
7.406,101.335
7.405,101.305
7.405,101.275
7.405,101.245
7.405,101.215
7.405,101.184
7.405,101.154
7.405,101.123
7.405,101.093
7.405,101.062
7.405,101.031
7.405,101.001
7.405,100.97
7.405,100.939
7.404,100.908
7.404,100.877
7.404,100.846
