Material,Object,Altitude (km),Mass (kg)
drama-AA7075,RFCU5,31.203,0.022
drama-AA7075,RFCU5,31.157,0.022
drama-AA7075,RFCU5,31.111,0.022
drama-AA7075,RFCU5,31.066,0.022
drama-AA7075,RFCU5,31.02,0.022
drama-AA7075,RFCU5,30.975,0.022
drama-AA7075,RFCU5,30.93,0.022
drama-AA7075,RFCU5,30.884,0.022
drama-AA7075,RFCU5,30.84,0.022
drama-AA7075,RFCU5,30.795,0.022
drama-AA7075,RFCU5,30.75,0.022
drama-AA7075,RFCU5,30.706,0.022
drama-AA7075,RFCU5,30.662,0.022
drama-AA7075,RFCU5,30.618,0.022
drama-AA7075,RFCU5,30.574,0.022
drama-AA7075,RFCU5,30.53,0.022
drama-AA7075,RFCU5,30.486,0.022
drama-AA7075,RFCU5,30.443,0.022
drama-AA7075,RFCU5,30.399,0.022
drama-AA7075,RFCU5,30.356,0.022
drama-AA7075,RFCU5,30.313,0.022
drama-AA7075,RFCU5,30.27,0.022
drama-AA7075,RFCU5,30.227,0.022
drama-AA7075,RFCU5,30.184,0.022
drama-AA7075,RFCU5,30.142,0.022
drama-AA7075,RFCU5,30.1,0.022
drama-AA7075,RFCU5,30.057,0.022
drama-AA7075,RFCU5,30.015,0.022
drama-AA7075,RFCU5,29.973,0.022
drama-AA7075,RFCU5,29.931,0.022
drama-AA7075,RFCU5,29.89,0.022
drama-AA7075,RFCU5,29.848,0.022
drama-AA7075,RFCU5,29.807,0.022
drama-AA7075,RFCU5,29.765,0.022
drama-AA7075,RFCU5,29.724,0.022
drama-AA7075,RFCU5,29.683,0.022
drama-AA7075,RFCU5,29.642,0.022
drama-AA7075,RFCU5,29.601,0.022
drama-AA7075,RFCU5,29.561,0.022
drama-AA7075,RFCU5,29.52,0.022
drama-AA7075,RFCU5,29.48,0.022
drama-AA7075,RFCU5,29.44,0.022
drama-AA7075,RFCU5,29.399,0.022
drama-AA7075,RFCU5,29.359,0.022
drama-AA7075,RFCU5,29.319,0.022
drama-AA7075,RFCU5,29.28,0.022
drama-AA7075,RFCU5,29.24,0.022
drama-AA7075,RFCU5,29.2,0.022
drama-AA7075,RFCU5,29.161,0.022
drama-AA7075,RFCU5,29.122,0.022
drama-AA7075,RFCU5,29.083,0.022
drama-AA7075,RFCU5,29.043,0.022
drama-AA7075,RFCU5,29.004,0.022
drama-AA7075,RFCU5,28.966,0.022
drama-AA7075,RFCU5,28.927,0.022
drama-AA7075,RFCU5,28.888,0.022
drama-AA7075,RFCU5,28.85,0.022
drama-AA7075,RFCU5,28.811,0.022
drama-AA7075,RFCU5,28.773,0.022
drama-AA7075,RFCU5,28.735,0.022
drama-AA7075,RFCU5,28.697,0.022
drama-AA7075,RFCU5,28.659,0.022
drama-AA7075,RFCU5,28.621,0.022
drama-AA7075,RFCU5,28.584,0.022
drama-AA7075,RFCU5,28.546,0.022
drama-AA7075,RFCU5,28.508,0.022
drama-AA7075,RFCU5,28.471,0.022
drama-AA7075,RFCU5,28.434,0.022
drama-AA7075,RFCU5,28.397,0.022
drama-AA7075,RFCU5,28.36,0.022
drama-AA7075,RFCU5,28.323,0.022
drama-AA7075,PCU,70.563,13.45
drama-AA7075,PCU,70.549,13.45
drama-AA7075,PCU,70.486,13.45
drama-AA7075,PCU,70.344,13.45
drama-AA7075,PCU,70.202,13.45
drama-AA7075,PCU,70.058,13.45
drama-AA7075,PCU,69.914,13.45
drama-AA7075,PCU,69.768,13.45
drama-AA7075,PCU,69.622,13.45
drama-AA7075,PCU,69.474,13.45
drama-AA7075,PCU,69.325,13.45
drama-AA7075,PCU,69.175,13.45
drama-AA7075,PCU,69.024,13.45
