# Documentation: DRAMA Software User Manual, section 7.3.2.7
latitude, imp.probability [1], casualty [1], fatality [1]
89.70000000001156, 4.6296296296333137E-5, 0.0, 0.0
89.69166666667822, 4.629629629625419E-5, 0.0, 0.0
89.68333333334489, 4.6296296296333137E-5, 0.0, 0.0
89.67500000001155, 4.6296296296333137E-5, 0.0, 0.0
89.66666666667821, 4.629629629625419E-5, 0.0, 0.0
89.65833333334488, 4.6296296296333137E-5, 0.0, 0.0
89.65000000001154, 4.629629629625419E-5, 0.0, 0.0
89.64166666667822, 4.6296296296333137E-5, 0.0, 0.0
89.63333333334488, 4.629629629625419E-5, 0.0, 0.0
89.62500000001155, 4.6296296296333137E-5, 0.0, 0.0
89.61666666667821, 4.6296296296333137E-5, 0.0, 0.0
89.60833333334487, 4.629629629625419E-5, 0.0, 0.0
89.60000000001155, 4.6296296296333137E-5, 0.0, 0.0
89.59166666667821, 4.629629629625419E-5, 0.0, 0.0
89.58333333334488, 4.6296296296333137E-5, 0.0, 0.0
89.57500000001154, 4.629629629625419E-5, 0.0, 0.0
89.56666666667822, 4.6296296296333137E-5, 0.0, 0.0
89.55833333334488, 4.6296296296333137E-5, 0.0, 0.0
89.55000000001154, 4.629629629625419E-5, 0.0, 0.0
89.54166666667821, 4.6296296296333137E-5, 0.0, 0.0
89.53333333334487, 4.629629629625419E-5, 0.0, 0.0
89.52500000001154, 4.6296296296333137E-5, 0.0, 0.0
89.5166666666782, 4.629629629625419E-5, 0.0, 0.0
89.50833333334488, 4.6296296296333137E-5, 0.0, 0.0
89.50000000001154, 4.6296296296333137E-5, 0.0, 0.0
89.4916666666782, 4.629629629625419E-5, 0.0, 0.0
89.48333333334487, 4.6296296296333137E-5, 0.0, 0.0
89.47500000001153, 4.629629629625419E-5, 0.0, 0.0
89.46666666667821, 4.6296296296333137E-5, 0.0, 0.0
89.45833333334487, 4.629629629625419E-5, 0.0, 0.0
89.45000000001154, 4.6296296296333137E-5, 0.0, 0.0
89.4416666666782, 4.6296296296333137E-5, 0.0, 0.0
89.43333333334486, 4.629629629625419E-5, 0.0, 0.0
89.42500000001154, 4.6296296296333137E-5, 0.0, 0.0
89.4166666666782, 4.629629629625419E-5, 0.0, 0.0
89.40833333334487, 4.6296296296333137E-5, 0.0, 0.0
89.40000000001153, 4.629629629625419E-5, 0.0, 0.0
89.3916666666782, 4.6296296296333137E-5, 0.0, 0.0
89.38333333334486, 4.6296296296333137E-5, 0.0, 0.0
89.37500000001153, 4.629629629625419E-5, 0.0, 0.0
89.3666666666782, 4.6296296296333137E-5, 0.0, 0.0
89.35833333334486, 4.629629629625419E-5, 0.0, 0.0
89.35000000001153, 4.6296296296333137E-5, 0.0, 0.0
89.3416666666782, 4.629629629625419E-5, 0.0, 0.0
89.33333333334487, 4.6296296296333137E-5, 0.0, 0.0
89.32500000001153, 4.6296296296333137E-5, 0.0, 0.0
89.31666666667819, 4.629629629625419E-5, 0.0, 0.0
