Altitude (km)	Objet	Matériau	Mass (kg)
82.762	CCU	drama-AA7075	3.158000
82.675	CCU	drama-AA7075	3.050000
82.588	CCU	drama-AA7075	2.940000
82.500	CCU	drama-AA7075	2.831000
82.412	CCU	drama-AA7075	2.720000
82.323	CCU	drama-AA7075	2.609000
82.233	CCU	drama-AA7075	2.497000
82.143	CCU	drama-AA7075	2.384000
82.053	CCU	drama-AA7075	2.271000
81.962	CCU	drama-AA7075	2.157000
81.871	CCU	drama-AA7075	2.042000
81.779	CCU	drama-AA7075	1.927000
81.686	CCU	drama-AA7075	1.810000
81.593	CCU	drama-AA7075	1.694000
81.499	CCU	drama-AA7075	1.576000
81.405	CCU	drama-AA7075	1.458000
81.310	CCU	drama-AA7075	1.339000
81.215	CCU	drama-AA7075	1.220000
81.119	CCU	drama-AA7075	1.100000
81.022	CCU	drama-AA7075	0.979000
80.925	CCU	drama-AA7075	0.857000
80.827	CCU	drama-AA7075	0.735000
80.728	CCU	drama-AA7075	0.613000
80.629	CCU	drama-AA7075	0.489000
80.529	CCU	drama-AA7075	0.366000
80.429	CCU	drama-AA7075	0.241000
80.327	CCU	drama-AA7075	0.116000
80.225	CCU	drama-AA7075	0.000000
89.986	ValvTran1	drama-A316	0.500000
89.980	ValvTran1	drama-A316	0.500000
89.954	ValvTran1	drama-A316	0.500000
89.895	ValvTran1	drama-A316	0.500000
89.836	ValvTran1	drama-A316	0.500000
89.777	ValvTran1	drama-A316	0.500000
89.718	ValvTran1	drama-A316	0.500000
89.659	ValvTran1	drama-A316	0.500000
89.600	ValvTran1	drama-A316	0.500000
89.540	ValvTran1	drama-A316	0.500000
89.481	ValvTran1	drama-A316	0.500000
89.421	ValvTran1	drama-A316	0.500000
89.361	ValvTran1	drama-A316	0.500000
89.300	ValvTran1	drama-A316	0.500000
89.240	ValvTran1	drama-A316	0.500000
89.180	ValvTran1	drama-A316	0.500000
89.119	ValvTran1	drama-A316	0.500000
89.058	ValvTran1	drama-A316	0.500000
88.997	ValvTran1	drama-A316	0.500000
88.935	ValvTran1	drama-A316	0.500000
88.874	ValvTran1	drama-A316	0.500000
88.812	ValvTran1	drama-A316	0.500000
88.750	ValvTran1	drama-A316	0.500000
88.688	ValvTran1	drama-A316	0.500000
88.625	ValvTran1	drama-A316	0.500000
88.563	ValvTran1	drama-A316	0.500000
88.500	ValvTran1	drama-A316	0.500000
88.436	ValvTran1	drama-A316	0.500000
88.373	ValvTran1	drama-A316	0.500000
88.309	ValvTran1	drama-A316	0.500000
88.245	ValvTran1	drama-A316	0.500000
88.181	ValvTran1	drama-A316	0.500000
88.116	ValvTran1	drama-A316	0.500000
88.051	ValvTran1	drama-A316	0.500000
87.986	ValvTran1	drama-A316	0.500000
87.921	ValvTran1	drama-A316	0.500000
87.855	ValvTran1	drama-A316	0.500000
87.789	ValvTran1	drama-A316	0.500000
87.722	ValvTran1	drama-A316	0.500000
87.656	ValvTran1	drama-A316	0.500000
87.589	ValvTran1	drama-A316	0.500000
87.521	ValvTran1	drama-A316	0.500000
87.453	ValvTran1	drama-A316	0.500000
87.385	ValvTran1	drama-A316	0.500000
87.317	ValvTran1	drama-A316	0.500000
87.248	ValvTran1	drama-A316	0.500000
87.179	ValvTran1	drama-A316	0.500000
87.109	ValvTran1	drama-A316	0.500000
87.039	ValvTran1	drama-A316	0.500000
86.969	ValvTran1	drama-A316	0.500000
86.898	ValvTran1	drama-A316	0.500000
86.827	ValvTran1	drama-A316	0.500000
86.755	ValvTran1	drama-A316	0.500000
86.683	ValvTran1	drama-A316	0.500000
86.610	ValvTran1	drama-A316	0.500000
86.537	ValvTran1	drama-A316	0.500000
86.464	ValvTran1	drama-A316	0.500000
86.390	ValvTran1	drama-A316	0.500000
86.316	ValvTran1	drama-A316	0.500000
86.241	ValvTran1	drama-A316	0.500000
86.166	ValvTran1	drama-A316	0.500000
86.090	ValvTran1	drama-A316	0.500000
86.014	ValvTran1	drama-A316	0.500000
85.937	ValvTran1	drama-A316	0.500000
85.860	ValvTran1	drama-A316	0.500000
85.782	ValvTran1	drama-A316	0.500000
85.704	ValvTran1	drama-A316	0.500000
85.625	ValvTran1	drama-A316	0.500000
85.546	ValvTran1	drama-A316	0.500000
85.466	ValvTran1	drama-A316	0.500000
85.385	ValvTran1	drama-A316	0.500000
85.304	ValvTran1	drama-A316	0.500000
85.223	ValvTran1	drama-A316	0.500000
85.141	ValvTran1	drama-A316	0.500000
85.058	ValvTran1	drama-A316	0.500000
84.975	ValvTran1	drama-A316	0.500000
84.891	ValvTran1	drama-A316	0.500000
84.806	ValvTran1	drama-A316	0.500000
84.721	ValvTran1	drama-A316	0.500000
84.635	ValvTran1	drama-A316	0.500000
84.549	ValvTran1	drama-A316	0.500000
84.462	ValvTran1	drama-A316	0.500000
84.374	ValvTran1	drama-A316	0.500000
84.286	ValvTran1	drama-A316	0.500000
84.197	ValvTran1	drama-A316	0.500000
84.107	ValvTran1	drama-A316	0.500000
84.016	ValvTran1	drama-A316	0.500000
83.925	ValvTran1	drama-A316	0.500000
83.833	ValvTran1	drama-A316	0.500000
83.741	ValvTran1	drama-A316	0.500000
83.648	ValvTran1	drama-A316	0.500000
83.554	ValvTran1	drama-A316	0.500000
83.459	ValvTran1	drama-A316	0.500000
83.363	ValvTran1	drama-A316	0.500000
83.267	ValvTran1	drama-A316	0.500000
83.170	ValvTran1	drama-A316	0.500000
83.072	ValvTran1	drama-A316	0.500000
82.974	ValvTran1	drama-A316	0.500000
82.874	ValvTran1	drama-A316	0.500000
82.774	ValvTran1	drama-A316	0.500000
82.673	ValvTran1	drama-A316	0.500000
82.571	ValvTran1	drama-A316	0.500000
82.468	ValvTran1	drama-A316	0.500000
82.365	ValvTran1	drama-A316	0.500000
82.260	ValvTran1	drama-A316	0.500000
82.155	ValvTran1	drama-A316	0.500000
82.049	ValvTran1	drama-A316	0.500000
81.942	ValvTran1	drama-A316	0.500000
81.834	ValvTran1	drama-A316	0.500000
81.725	ValvTran1	drama-A316	0.500000
81.615	ValvTran1	drama-A316	0.500000
81.504	ValvTran1	drama-A316	0.500000
81.393	ValvTran1	drama-A316	0.500000
81.280	ValvTran1	drama-A316	0.500000
81.166	ValvTran1	drama-A316	0.500000
81.052	ValvTran1	drama-A316	0.500000
80.936	ValvTran1	drama-A316	0.500000
80.819	ValvTran1	drama-A316	0.500000
80.702	ValvTran1	drama-A316	0.500000
80.583	ValvTran1	drama-A316	0.500000
80.464	ValvTran1	drama-A316	0.500000
80.343	ValvTran1	drama-A316	0.500000
80.221	ValvTran1	drama-A316	0.500000
80.098	ValvTran1	drama-A316	0.500000
79.974	ValvTran1	drama-A316	0.500000
79.849	ValvTran1	drama-A316	0.500000
79.723	ValvTran1	drama-A316	0.500000
79.596	ValvTran1	drama-A316	0.500000
79.468	ValvTran1	drama-A316	0.500000
79.338	ValvTran1	drama-A316	0.500000
79.207	ValvTran1	drama-A316	0.500000
79.076	ValvTran1	drama-A316	0.500000
78.943	ValvTran1	drama-A316	0.500000
78.808	ValvTran1	drama-A316	0.500000
78.673	ValvTran1	drama-A316	0.500000
78.536	ValvTran1	drama-A316	0.500000
78.398	ValvTran1	drama-A316	0.500000
78.259	ValvTran1	drama-A316	0.500000
78.119	ValvTran1	drama-A316	0.500000
77.977	ValvTran1	drama-A316	0.500000
77.834	ValvTran1	drama-A316	0.500000
77.690	ValvTran1	drama-A316	0.500000
77.544	ValvTran1	drama-A316	0.500000
77.397	ValvTran1	drama-A316	0.500000
77.249	ValvTran1	drama-A316	0.500000
77.099	ValvTran1	drama-A316	0.500000
76.948	ValvTran1	drama-A316	0.500000
76.796	ValvTran1	drama-A316	0.500000
76.642	ValvTran1	drama-A316	0.500000
76.487	ValvTran1	drama-A316	0.500000
76.330	ValvTran1	drama-A316	0.500000
76.172	ValvTran1	drama-A316	0.500000
76.013	ValvTran1	drama-A316	0.500000
75.852	ValvTran1	drama-A316	0.500000
75.689	ValvTran1	drama-A316	0.500000
75.525	ValvTran1	drama-A316	0.500000
75.359	ValvTran1	drama-A316	0.500000
75.192	ValvTran1	drama-A316	0.500000
75.024	ValvTran1	drama-A316	0.500000
74.853	ValvTran1	drama-A316	0.500000
74.681	ValvTran1	drama-A316	0.500000
74.508	ValvTran1	drama-A316	0.500000
74.333	ValvTran1	drama-A316	0.500000
74.156	ValvTran1	drama-A316	0.500000
73.978	ValvTran1	drama-A316	0.500000
