Altitude (km),Knudsen
115.377,7.36352
115.363,7.34969
115.35,7.33588
115.336,7.32208
115.323,7.30831
115.309,7.29455
115.296,7.28081
115.282,7.26705
115.269,7.25331
115.255,7.23958
115.242,7.22588
115.228,7.21219
115.215,7.19853
115.201,7.18488
115.187,7.17122
115.174,7.15757
115.16,7.14394
115.147,7.13032
115.133,7.11673
115.12,7.10315
115.106,7.08959
115.093,7.07604
115.079,7.06247
115.065,7.04893
115.052,7.0354
115.038,7.0219
115.025,7.00841
115.011,6.99494
114.997,6.98149
114.984,6.96802
114.97,6.95456
114.957,6.94112
114.943,6.92771
114.929,6.91431
114.916,6.90093
114.902,6.88756
114.888,6.87419
114.875,6.86082
114.861,6.84747
114.847,6.83414
114.834,6.82083
114.82,6.80754
114.806,6.79426
114.793,6.78099
114.779,6.76771
114.765,6.75445
114.752,6.7412
114.738,6.72798
114.724,6.71477
114.711,6.70158
114.697,6.68841
114.683,6.67521
114.669,6.66204
114.656,6.64888
114.642,6.63574
114.628,6.62262
114.614,6.60952
114.601,6.59644
114.587,6.58334
114.573,6.57025
114.559,6.55718
114.545,6.54412
114.532,6.53109
114.518,6.51807
114.504,6.50507
114.49,6.49207
114.476,6.47906
114.463,6.46608
114.449,6.45311
114.435,6.44016
114.421,6.42723
114.407,6.41432
114.393,6.40141
114.379,6.38849
114.366,6.37559
114.352,6.3627
114.338,6.34984
114.324,6.33699
114.31,6.32416
114.296,6.31134
114.282,6.29851
114.268,6.28569
114.254,6.27289
114.24,6.26011
114.227,6.24735
114.213,6.2346
114.199,6.22188
114.185,6.20913
114.171,6.19639
114.157,6.18368
114.143,6.17098
114.129,6.1583
114.115,6.14564
114.101,6.133
114.087,6.12034
114.073,6.10769
114.059,6.09506
114.045,6.08244
114.031,6.06985
114.017,6.05727
114.003,6.04471
113.989,6.03213
113.975,6.01957
113.96,6.00702
113.946,5.99449
113.932,5.98197
113.918,5.96948
113.904,5.957
113.89,5.94452
113.876,5.93203
113.862,5.91956
113.848,5.90712
113.834,5.89468
113.819,5.88227
113.805,5.86987
113.791,5.85748
113.777,5.84507
113.763,5.83269
113.749,5.82032
113.734,5.80797
113.72,5.79564
113.706,5.78333
113.692,5.77101
113.678,5.75869
113.663,5.74639
113.649,5.7341
113.635,5.72184
113.621,5.70959
113.606,5.69735
113.592,5.68512
113.578,5.67288
113.564,5.66066
113.549,5.64846
113.535,5.63627
113.521,5.6241
113.506,5.61195
113.492,5.5998
113.478,5.58764
113.463,5.5755
113.449,5.56338
113.435,5.55127
113.42,5.53919
113.406,5.52712
113.392,5.51504
113.377,5.50297
113.363,5.49091
113.348,5.47887
113.334,5.46684
113.319,5.45484
113.305,5.44285
113.291,5.43085
113.276,5.41886
113.262,5.40688
113.247,5.39492
113.233,5.38297
113.218,5.37105
113.204,5.35914
113.189,5.34722
113.175,5.33531
113.16,5.32341
113.146,5.31153
113.131,5.29967
113.117,5.28782
113.102,5.27599
113.088,5.26415
113.073,5.25232
113.058,5.2405
113.044,5.2287
113.029,5.21692
113.015,5.20515
113.0,5.1934
112.985,5.18163
112.971,5.16988
112.956,5.15814
112.941,5.14642
112.927,5.13472
112.912,5.12303
112.897,5.11136
112.883,5.09967
112.868,5.088
112.853,5.07634
112.838,5.0647
112.824,5.05308
112.809,5.04147
112.794,5.02987
112.779,5.01826
112.765,5.00667
112.75,4.99509
112.735,4.98353
112.72,4.97199
112.705,4.96046
112.691,4.94894
112.676,4.93741
112.661,4.92589
112.646,4.9144
112.631,4.90292
112.616,4.89145
112.601,4.88001
112.587,4.86855
112.572,4.8571
112.557,4.84566
112.542,4.83425
112.527,4.82285
112.512,4.81146
112.497,4.80009
112.482,4.78871
112.467,4.77734
112.452,4.76598
112.437,4.75465
112.422,4.74333
112.407,4.73202
112.392,4.72072
112.377,4.70941
112.362,4.69812
112.347,4.68685
112.332,4.67559
112.317,4.66435
112.302,4.65313
112.286,4.64189
112.271,4.63067
112.256,4.61946
112.241,4.60826
112.226,4.59709
112.211,4.58593
112.196,4.57478
112.18,4.56361
112.165,4.55247
112.15,4.54134
112.135,4.53022
112.119,4.51913
112.104,4.50805
112.089,4.49696
112.074,4.48588
112.058,4.47481
112.043,4.46376
112.028,4.45273
112.012,4.44171
111.997,4.43071
111.982,4.41969
111.966,4.40869
111.951,4.3977
111.936,4.38673
111.92,4.37578
111.905,4.36484
111.89,4.3539
111.874,4.34297
111.859,4.33204
111.843,4.32114
111.828,4.31025
111.812,4.29938
111.797,4.28852
111.781,4.27764
111.766,4.26679
111.75,4.25594
111.735,4.24512
111.719,4.23431
111.704,4.22352
111.688,4.21272
111.672,4.20193
111.657,4.19115
111.641,4.18039
111.626,4.16965
111.61,4.15892
111.594,4.1482
111.579,4.13747
111.563,4.12676
111.547,4.11607
111.532,4.10539
111.516,4.09472
111.5,4.08408
111.484,4.07342
111.469,4.06277
111.453,4.05214
111.437,4.04153
111.421,4.03093
111.406,4.02035
111.39,4.00977
111.374,3.99918
111.358,3.98862
111.342,3.97807
111.326,3.96754
111.31,3.95702
111.295,3.94651
111.279,3.936
111.263,3.9255
111.247,3.91501
111.231,3.90455
111.215,3.8941
111.199,3.88366
111.183,3.87321
111.167,3.86278
111.151,3.85236
111.135,3.84196
111.119,3.83157
111.103,3.82121
111.087,3.81083
111.071,3.80046
111.054,3.79011
111.038,3.77978
111.022,3.76946
111.006,3.75916
110.99,3.74885
110.974,3.73855
110.957,3.72827
110.941,3.718
110.925,3.70775
110.909,3.69751
110.893,3.68728
110.876,3.67705
110.86,3.66683
110.844,3.65663
110.827,3.64644
110.811,3.63627
110.795,3.62612
110.778,3.61595
110.762,3.6058
110.746,3.59566
110.729,3.58555
110.713,3.57544
110.696,3.56536
110.68,3.55526
110.663,3.54517
110.647,3.53511
110.63,3.52506
110.614,3.51502
110.597,3.50501
110.581,3.49497
110.564,3.48496
110.548,3.47496
110.531,3.46498
110.514,3.45501
110.498,3.44507
110.481,3.4351
110.465,3.42516
110.448,3.41523
110.431,3.40531
110.415,3.39542
110.398,3.38554
110.381,3.37564
110.364,3.36576
110.348,3.3559
110.331,3.34606
110.314,3.33623
110.297,3.32642
110.28,3.31659
110.263,3.30679
110.247,3.29699
110.23,3.28722
110.213,3.27746
110.196,3.26772
110.179,3.25796
110.162,3.24822
110.145,3.2385
110.128,3.2288
110.111,3.21911
110.094,3.20943
110.077,3.19975
110.06,3.19008
110.043,3.18043
110.026,3.1708
110.009,3.16118
109.992,3.15157
109.974,3.14195
109.957,3.13236
109.94,3.12278
109.923,3.11321
109.906,3.10367
109.889,3.09413
109.871,3.08459
109.854,3.07507
109.837,3.06557
109.819,3.05609
109.802,3.04662
109.785,3.03721
109.767,3.02784
109.75,3.01849
109.733,3.00915
109.715,2.99983
109.698,2.99053
109.68,2.98132
109.663,2.97213
109.646,2.96296
109.628,2.9538
109.611,2.94467
109.593,2.93556
109.575,2.92653
109.558,2.91751
109.54,2.90851
109.523,2.89953
109.505,2.89056
109.487,2.88165
109.47,2.87278
109.452,2.86392
109.434,2.85508
109.417,2.84626
109.399,2.83746
109.381,2.82872
109.363,2.82
109.346,2.8113
109.328,2.80262
109.31,2.79395
109.292,2.78531
109.274,2.77672
109.256,2.76815
109.238,2.7596
109.22,2.75106
109.202,2.74253
109.184,2.73406
109.166,2.72561
109.148,2.71718
109.13,2.70876
109.112,2.70036
109.094,2.69198
109.076,2.68365
109.058,2.67533
109.04,2.66703
109.022,2.65874
109.004,2.65047
108.985,2.64224
108.967,2.63404
108.949,2.62585
108.931,2.61767
108.912,2.60951
108.894,2.60137
108.876,2.59327
108.857,2.58519
108.839,2.57711
108.821,2.56906
108.802,2.56102
108.784,2.55301
108.765,2.54503
108.747,2.53706
108.728,2.5291
108.71,2.52116
108.691,2.51325
108.673,2.50536
108.654,2.49748
108.636,2.48962
108.617,2.48178
108.598,2.47395
108.58,2.46615
108.561,2.45837
108.542,2.45061
108.524,2.44285
108.505,2.43512
108.486,2.4274
108.467,2.41971
108.448,2.41203
108.43,2.40437
108.411,2.39672
108.392,2.38909
108.373,2.38148
108.354,2.37389
108.335,2.36631
108.316,2.35875
108.297,2.3512
108.278,2.34368
108.259,2.33617
108.24,2.32867
108.221,2.32119
108.202,2.31373
108.183,2.30628
108.163,2.29885
108.144,2.29144
108.125,2.28404
108.106,2.27665
108.087,2.26928
108.067,2.26193
108.048,2.2546
108.029,2.24727
108.009,2.23997
107.99,2.23267
107.97,2.2254
107.951,2.21814
107.932,2.21089
107.912,2.20366
107.893,2.19645
107.873,2.18925
107.854,2.18206
107.834,2.17489
107.814,2.16773
107.795,2.16059
107.775,2.15346
107.755,2.14635
107.736,2.13925
107.716,2.13217
107.696,2.1251
107.676,2.11804
107.657,2.111
107.637,2.10397
107.617,2.09696
107.597,2.08996
107.577,2.08298
107.557,2.07601
107.537,2.06905
107.517,2.06211
107.497,2.05518
107.477,2.04827
107.457,2.04136
107.437,2.03448
107.417,2.0276
107.397,2.02075
107.377,2.0139
107.357,2.00707
107.336,2.00025
107.316,1.99345
107.296,1.98666
107.276,1.97988
107.255,1.97311
107.235,1.96636
107.215,1.95963
107.194,1.9529
107.174,1.94619
107.153,1.9395
107.133,1.93282
107.112,1.92615
107.092,1.91949
107.071,1.91285
107.051,1.90622
107.03,1.8996
107.009,1.893
106.989,1.88641
106.968,1.87983
106.947,1.87327
106.926,1.86672
106.906,1.86018
106.885,1.85366
106.864,1.84715
106.843,1.84065
106.822,1.83417
106.801,1.8277
106.78,1.82124
106.759,1.8148
106.738,1.80837
106.717,1.80195
106.696,1.79554
106.675,1.78915
106.654,1.78277
106.633,1.77641
106.612,1.77005
106.59,1.76371
106.569,1.75739
106.548,1.75107
106.527,1.74477
106.505,1.73849
106.484,1.73221
106.462,1.72595
106.441,1.7197
106.42,1.71346
106.398,1.70724
106.377,1.70103
106.355,1.69484
106.333,1.68865
106.312,1.68248
106.29,1.67632
106.269,1.67018
106.247,1.66405
106.225,1.65793
106.203,1.65182
106.181,1.64573
106.16,1.63965
106.138,1.63358
106.116,1.62753
106.094,1.62149
106.072,1.61546
106.05,1.60944
106.028,1.60344
106.006,1.59745
105.984,1.59148
105.962,1.58551
105.94,1.57956
105.917,1.57363
105.895,1.5677
105.873,1.56179
105.851,1.55589
105.828,1.55001
105.806,1.54413
105.784,1.53827
105.761,1.53243
105.739,1.52659
105.716,1.52077
105.694,1.51496
105.671,1.50917
105.649,1.50339
105.626,1.49762
105.603,1.49186
105.581,1.48612
105.558,1.48039
105.535,1.47467
105.512,1.46896
105.49,1.46327
105.467,1.45759
105.444,1.45193
105.421,1.44628
105.398,1.44064
105.375,1.43501
105.352,1.42939
105.329,1.42379
105.306,1.41821
105.283,1.41263
105.26,1.40707
105.236,1.40152
105.213,1.39598
105.19,1.39046
105.167,1.38495
105.143,1.37945
105.12,1.37396
105.096,1.36849
105.073,1.36303
105.049,1.35759
105.026,1.35215
105.002,1.34673
104.979,1.34132
104.955,1.33593
104.931,1.33055
104.908,1.32518
104.884,1.31982
104.86,1.31448
104.836,1.30915
104.812,1.30383
104.789,1.29853
104.765,1.29323
104.741,1.28795
104.717,1.28269
104.693,1.27743
104.668,1.27219
104.644,1.26697
104.62,1.26175
104.596,1.25655
104.572,1.25136
104.547,1.24618
104.523,1.24102
104.499,1.23587
104.474,1.23073
104.45,1.2256
104.425,1.22049
104.401,1.21539
104.376,1.2103
104.352,1.20523
104.327,1.20017
104.302,1.19512
104.278,1.19008
104.253,1.18506
104.228,1.18005
104.203,1.17505
104.178,1.17006
104.153,1.16509
104.128,1.16013
104.103,1.15518
104.078,1.15025
104.053,1.14532
104.028,1.14041
104.003,1.13552
103.978,1.13063
103.952,1.12576
103.927,1.1209
103.902,1.11605
103.876,1.11122
103.851,1.10639
103.825,1.10158
103.8,1.09679
103.774,1.092
103.749,1.08723
103.723,1.08247
103.697,1.07772
103.672,1.07299
103.646,1.06826
103.62,1.06355
103.594,1.05886
103.568,1.05417
103.542,1.0495
103.516,1.04484
103.49,1.04019
103.464,1.03555
103.438,1.03093
103.412,1.02631
103.385,1.02172
103.359,1.01713
103.333,1.01255
103.306,1.00799
103.28,1.00344
103.254,0.9989
103.227,0.99437
103.201,0.98986
103.174,0.98536
103.147,0.98087
103.121,0.97639
103.094,0.97192
103.067,0.96747
103.04,0.96303
103.013,0.9586
102.986,0.95418
102.959,0.94977
102.932,0.94538
102.905,0.941
102.878,0.93663
102.851,0.93227
102.824,0.92792
102.796,0.92359
102.769,0.91926
102.742,0.91495
102.714,0.91065
102.687,0.90637
102.659,0.90209
102.632,0.89783
102.604,0.89357
102.576,0.88933
102.549,0.8851
102.521,0.88089
102.493,0.87668
102.465,0.87249
102.437,0.86831
102.409,0.86414
102.381,0.85998
102.353,0.85583
102.325,0.85169
102.297,0.84757
102.268,0.84345
102.24,0.83935
102.212,0.83526
102.183,0.83118
102.155,0.82712
102.126,0.82306
102.098,0.81902
102.069,0.81498
102.04,0.81096
102.012,0.80695
101.983,0.80295
101.954,0.79896
101.925,0.79499
101.896,0.79102
101.867,0.78707
101.838,0.78312
101.809,0.77919
101.78,0.77527
101.751,0.77136
101.721,0.76746
101.692,0.76358
101.663,0.7597
101.633,0.75584
101.604,0.75198
101.574,0.74814
101.544,0.74431
101.515,0.74049
101.485,0.73668
101.455,0.73288
101.425,0.72909
101.395,0.72531
101.365,0.72155
101.335,0.71779
101.305,0.71405
101.275,0.71032
101.245,0.70659
101.215,0.70288
101.184,0.69918
101.154,0.69549
101.123,0.69181
101.093,0.68815
101.062,0.68449
101.031,0.68084
101.001,0.67721
100.97,0.67358
100.939,0.66997
100.908,0.66637
100.877,0.66277
100.846,0.65919
100.815,0.65562
100.784,0.65206
100.753,0.64851
100.721,0.64497
100.69,0.64145
100.659,0.63793
100.627,0.63442
100.596,0.63093
100.564,0.62744
100.532,0.62397
100.501,0.6205
100.469,0.61705
100.437,0.61361
100.405,0.61017
100.373,0.60675
100.341,0.60334
100.309,0.59994
100.277,0.59655
100.244,0.59317
100.212,0.5898
100.18,0.58645
100.147,0.5831
100.114,0.57976
100.082,0.57644
100.049,0.57312
100.016,0.56982
99.984,0.56652
99.951,0.56324
99.918,0.55997
99.885,0.55671
99.851,0.55345
99.818,0.55021
99.785,0.54698
99.752,0.54376
99.718,0.54055
99.685,0.53736
99.651,0.53417
99.618,0.53099
99.584,0.52782
99.55,0.52467
99.516,0.52152
99.482,0.51839
99.448,0.51526
99.414,0.51215
99.38,0.50905
99.346,0.50595
99.312,0.50287
99.277,0.4998
99.243,0.49674
99.208,0.49369
99.174,0.49065
99.139,0.48763
99.104,0.48461
99.069,0.4816
99.034,0.47861
98.999,0.47562
98.964,0.47265
98.929,0.46969
98.894,0.46673
98.858,0.46379
98.823,0.46086
98.788,0.45794
98.752,0.45503
98.716,0.45213
98.681,0.44924
98.645,0.44637
98.609,0.4435
98.573,0.44065
98.537,0.4378
98.501,0.43497
98.464,0.43215
98.428,0.42934
98.392,0.42654
98.355,0.42375
98.319,0.42097
98.282,0.4182
98.245,0.41545
98.208,0.4127
98.171,0.40997
98.134,0.40724
98.097,0.40453
98.06,0.40183
98.023,0.39914
97.985,0.39646
97.948,0.39379
97.91,0.39114
97.873,0.38849
97.835,0.38586
97.797,0.38323
97.759,0.38062
97.721,0.37802
97.683,0.37543
97.645,0.37285
97.606,0.37029
97.568,0.36773
97.53,0.36518
97.491,0.36265
97.452,0.36013
97.414,0.35762
97.375,0.35512
