# object name: PLM
-2.879793 -0.523599 0.584112
-2.617994 -0.523599 0.711253
-2.356194 -0.523599 0.833333
-2.094395 -0.523599 0.954724
-1.832596 -0.523599 1.000000
-1.570796 -0.523599 1.000000
-1.308997 -0.523599 1.000000
-1.047198 -0.523599 1.000000
-0.785398 -0.523599 1.000000
-0.523599 -0.523599 1.000000
-0.261799 -0.523599 1.000000
0.000000 -0.523599 1.000000
0.261799 -0.523599 1.000000
0.523599 -0.523599 1.000000
0.785398 -0.523599 1.000000
1.047198 -0.523599 1.000000
1.308997 -0.523599 1.000000
1.570796 -0.523599 1.000000
1.832596 -0.523599 1.000000
2.094395 -0.523599 0.954724
2.356194 -0.523599 0.833333
2.617994 -0.523599 0.711253
2.879793 -0.523599 0.584112
3.141593 -0.523599 0.565217

-3.141593 -0.261799 0.194444
-2.879793 -0.261799 0.330601
-2.617994 -0.261799 0.555556
-2.356194 -0.261799 0.726872
-2.094395 -0.261799 0.913333
-1.832596 -0.261799 1.000000
-1.570796 -0.261799 1.000000
-1.308997 -0.261799 1.000000
-1.047198 -0.261799 1.000000
-0.785398 -0.261799 1.000000
-0.523599 -0.261799 1.000000
-0.261799 -0.261799 1.000000
0.000000 -0.261799 1.000000
0.261799 -0.261799 1.000000
0.523599 -0.261799 1.000000
0.785398 -0.261799 1.000000
1.047198 -0.261799 1.000000
1.308997 -0.261799 1.000000
1.570796 -0.261799 1.000000
1.832596 -0.261799 1.000000
2.094395 -0.261799 0.913333
2.356194 -0.261799 0.726872
2.617994 -0.261799 0.555556
2.879793 -0.261799 0.330601
3.141593 -0.261799 0.194444

-3.141593 0.000000 0.000000
-2.879793 0.000000 0.190476
-2.617994 0.000000 0.480000
-2.356194 0.000000 0.678571
-2.094395 0.000000 0.892857
-1.832596 0.000000 1.000000
-1.570796 0.000000 1.000000
-1.308997 0.000000 1.000000
-1.047198 0.000000 1.000000
-0.785398 0.000000 1.000000
-0.523599 0.000000 1.000000
-0.261799 0.000000 1.000000
0.000000 0.000000 1.000000
0.261799 0.000000 1.000000
0.523599 0.000000 1.000000
0.785398 0.000000 1.000000
1.047198 0.000000 1.000000
1.308997 0.000000 1.000000
1.570796 0.000000 1.000000
1.832596 0.000000 1.000000
2.094395 0.000000 0.892857
2.356194 0.000000 0.678571
2.617994 0.000000 0.480000
2.879793 0.000000 0.190476
3.141593 0.000000 0.000000

-3.141593 0.261799 0.194444
-2.879793 0.261799 0.330601
-2.617994 0.261799 0.555556
-2.356194 0.261799 0.726872
-2.094395 0.261799 0.913333
-1.832596 0.261799 1.000000
-1.570796 0.261799 1.000000
-1.308997 0.261799 1.000000
-1.047198 0.261799 1.000000
-0.785398 0.261799 1.000000
-0.523599 0.261799 1.000000
-0.261799 0.261799 1.000000
0.000000 0.261799 1.000000
0.261799 0.261799 1.000000
0.523599 0.261799 1.000000
0.785398 0.261799 1.000000
1.047198 0.261799 1.000000
1.308997 0.261799 1.000000
1.570796 0.261799 1.000000
1.832596 0.261799 1.000000
2.094395 0.261799 0.913333
2.356194 0.261799 0.726872
2.617994 0.261799 0.555556
2.879793 0.261799 0.330601
3.141593 0.261799 0.194444

-3.141593 0.523599 0.565217
-2.879793 0.523599 0.584112
-2.617994 0.523599 0.711253
-2.356194 0.523599 0.833333
-2.094395 0.523599 0.954724
-1.832596 0.523599 1.000000
-1.570796 0.523599 1.000000
-1.308997 0.523599 1.000000
-1.047198 0.523599 1.000000
-0.785398 0.523599 1.000000
-0.523599 0.523599 1.000000
-0.261799 0.523599 1.000000
0.000000 0.523599 1.000000
0.261799 0.523599 1.000000
0.523599 0.523599 1.000000
0.785398 0.523599 1.000000
1.047198 0.523599 1.000000
1.308997 0.523599 1.000000
1.570796 0.523599 1.000000
1.832596 0.523599 1.000000
2.094395 0.523599 0.954724
2.356194 0.523599 0.833333
2.617994 0.523599 0.711253
2.879793 0.523599 0.584112
3.141593 0.523599 0.565217

-3.141593 0.785398 0.769231
-2.879793 0.785398 0.770386
-2.617994 0.785398 0.844930
-2.356194 0.785398 0.915254
-2.094395 0.785398 0.984991
