Time [s]	Altitude [km]	Latitude [deg]	Longitude [deg]	Velocity [m/s]	Temperature [K]	Mass [kg]	Convective Heat [W/m²]	Integrated Heat [J/m²]	Object	Material
3611.49	8.606	-9.371	-70.391	0.02	236.886	0.313	0.194	0.024	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3612.49	8.589	-9.371	-70.392	0.02	236.874	0.313	0.194	0.024	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3613.49	8.573	-9.371	-70.392	0.02	236.863	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3614.49	8.556	-9.371	-70.392	0.02	236.852	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3615.49	8.539	-9.371	-70.392	0.02	236.842	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3616.49	8.522	-9.371	-70.392	0.02	236.831	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3617.49	8.505	-9.371	-70.392	0.02	236.821	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3618.49	8.488	-9.371	-70.392	0.02	236.812	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3619.49	8.472	-9.371	-70.392	0.02	236.803	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3620.49	8.455	-9.371	-70.392	0.02	236.793	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3621.49	8.438	-9.371	-70.392	0.02	236.785	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3622.49	8.421	-9.371	-70.392	0.02	236.776	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3623.49	8.405	-9.371	-70.393	0.02	236.768	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3624.49	8.388	-9.371	-70.393	0.02	236.76	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3625.49	8.371	-9.371	-70.393	0.02	236.753	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3626.49	8.355	-9.371	-70.393	0.02	236.745	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3627.49	8.338	-9.371	-70.393	0.02	236.739	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3628.49	8.321	-9.371	-70.393	0.02	236.732	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3629.49	8.305	-9.371	-70.393	0.02	236.725	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3630.49	8.288	-9.371	-70.393	0.019	236.719	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3631.49	8.272	-9.371	-70.393	0.019	236.714	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3632.49	8.255	-9.371	-70.393	0.019	236.708	0.313	0.194	0.023	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3633.49	8.239	-9.371	-70.394	0.019	236.703	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3634.49	8.222	-9.371	-70.394	0.019	236.698	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3635.49	8.206	-9.371	-70.394	0.019	236.693	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3636.49	8.189	-9.371	-70.394	0.019	236.689	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3637.49	8.173	-9.371	-70.394	0.019	236.685	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3638.49	8.156	-9.371	-70.394	0.019	236.681	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3639.49	8.14	-9.371	-70.394	0.019	236.677	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3640.49	8.124	-9.371	-70.394	0.019	236.674	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3641.49	8.107	-9.371	-70.394	0.019	236.671	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3642.49	8.091	-9.371	-70.394	0.019	236.669	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3643.49	8.075	-9.371	-70.394	0.019	236.666	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3644.49	8.058	-9.371	-70.395	0.019	236.664	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3645.49	8.042	-9.371	-70.395	0.019	236.662	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3646.49	8.026	-9.371	-70.395	0.019	236.661	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3647.49	8.009	-9.371	-70.395	0.019	236.659	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3648.49	7.993	-9.371	-70.395	0.019	236.658	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3649.49	7.977	-9.371	-70.395	0.019	236.658	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3650.49	7.961	-9.371	-70.395	0.019	236.657	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3651.49	7.945	-9.371	-70.395	0.019	236.657	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3652.49	7.928	-9.371	-70.395	0.019	236.657	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3653.49	7.912	-9.371	-70.395	0.019	236.657	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3654.49	7.896	-9.371	-70.395	0.019	236.657	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3655.49	7.88	-9.371	-70.396	0.019	236.657	0.313	0.194	0.022	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3656.49	7.864	-9.371	-70.396	0.019	236.657	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3657.49	7.848	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3658.49	7.832	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3659.49	7.816	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3660.49	7.8	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3661.49	7.784	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3662.49	7.768	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3663.49	7.752	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3664.49	7.736	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3665.49	7.72	-9.371	-70.396	0.019	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3666.49	7.704	-9.371	-70.396	0.018	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3667.49	7.688	-9.371	-70.397	0.018	236.658	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3668.49	7.672	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3669.49	7.657	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3670.49	7.641	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3671.49	7.625	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3672.49	7.609	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3673.49	7.593	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3674.49	7.578	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3675.49	7.562	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3676.49	7.546	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3677.49	7.53	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3678.49	7.515	-9.371	-70.397	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3679.49	7.499	-9.371	-70.398	0.018	236.659	0.313	0.194	0.021	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3680.49	7.483	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3681.49	7.468	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3682.49	7.452	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3683.49	7.437	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3684.49	7.421	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3685.49	7.405	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3686.49	7.39	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3687.49	7.374	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3688.49	7.359	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3689.49	7.343	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3690.49	7.328	-9.371	-70.398	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3691.49	7.312	-9.371	-70.399	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3692.49	7.297	-9.371	-70.399	0.018	236.66	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3693.49	7.282	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3694.49	7.266	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3695.49	7.251	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3696.49	7.235	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3697.49	7.22	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3698.49	7.205	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3699.49	7.189	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3700.49	7.174	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3701.49	7.159	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3702.49	7.143	-9.371	-70.399	0.018	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3703.49	7.128	-9.371	-70.399	0.017	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3704.49	7.113	-9.371	-70.4	0.017	236.661	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3705.49	7.098	-9.371	-70.4	0.017	236.662	0.313	0.194	0.02	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3706.49	7.083	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3707.49	7.067	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3708.49	7.052	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3709.49	7.037	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3710.49	7.022	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3711.49	7.007	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3712.49	6.992	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3713.49	6.977	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3714.49	6.962	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3715.49	6.946	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3716.49	6.931	-9.371	-70.4	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3717.49	6.916	-9.371	-70.401	0.017	236.662	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3718.49	6.901	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3719.49	6.886	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3720.49	6.871	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3721.49	6.857	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3722.49	6.842	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3723.49	6.827	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3724.49	6.812	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3725.49	6.797	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3726.49	6.782	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3727.49	6.767	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3728.49	6.752	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3729.49	6.737	-9.371	-70.401	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3730.49	6.723	-9.371	-70.402	0.017	236.663	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3731.49	6.708	-9.371	-70.402	0.017	236.664	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3732.49	6.693	-9.371	-70.402	0.017	236.664	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3733.49	6.678	-9.371	-70.402	0.017	236.664	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3734.49	6.664	-9.371	-70.402	0.017	236.664	0.313	0.194	0.019	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3735.49	6.649	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3736.49	6.634	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3737.49	6.619	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3738.49	6.605	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3739.49	6.59	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3740.49	6.575	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3741.49	6.561	-9.371	-70.402	0.017	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3742.49	6.546	-9.371	-70.402	0.016	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3743.49	6.532	-9.371	-70.402	0.016	236.664	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3744.49	6.517	-9.371	-70.402	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3745.49	6.503	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3746.49	6.488	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3747.49	6.473	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3748.49	6.459	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3749.49	6.444	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3750.49	6.43	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3751.49	6.415	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3752.49	6.401	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3753.49	6.387	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3754.49	6.372	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3755.49	6.358	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3756.49	6.343	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3757.49	6.329	-9.371	-70.403	0.016	236.665	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3758.49	6.315	-9.371	-70.403	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3759.49	6.3	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3760.49	6.286	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3761.49	6.272	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3762.49	6.257	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3763.49	6.243	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3764.49	6.229	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3765.49	6.214	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3766.49	6.2	-9.371	-70.404	0.016	236.666	0.313	0.194	0.018	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3767.49	6.186	-9.371	-70.404	0.016	236.666	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3768.49	6.172	-9.371	-70.404	0.016	236.666	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3769.49	6.158	-9.371	-70.404	0.016	236.666	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3770.49	6.143	-9.371	-70.404	0.016	236.666	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3771.49	6.129	-9.371	-70.404	0.016	236.666	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3772.49	6.115	-9.371	-70.404	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3773.49	6.101	-9.371	-70.404	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3774.49	6.087	-9.371	-70.404	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3775.49	6.073	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3776.49	6.059	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3777.49	6.045	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3778.49	6.03	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3779.49	6.016	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3780.49	6.002	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3781.49	5.988	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3782.49	5.974	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3783.49	5.96	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3784.49	5.946	-9.371	-70.405	0.016	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3785.49	5.932	-9.371	-70.405	0.015	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3786.49	5.919	-9.371	-70.405	0.015	236.667	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3787.49	5.905	-9.371	-70.405	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3788.49	5.891	-9.371	-70.405	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3789.49	5.877	-9.371	-70.405	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3790.49	5.863	-9.371	-70.405	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3791.49	5.849	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3792.49	5.835	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3793.49	5.821	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3794.49	5.807	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3795.49	5.794	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3796.49	5.78	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3797.49	5.766	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3798.49	5.752	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3799.49	5.739	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3800.49	5.725	-9.371	-70.406	0.015	236.668	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3801.49	5.711	-9.371	-70.406	0.015	236.669	0.313	0.194	0.017	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3802.49	5.697	-9.371	-70.406	0.015	236.669	0.313	0.194	0.016	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
3803.49	5.684	-9.371	-70.406	0.015	236.669	0.313	0.194	0.016	b518d4fd-73f0-47f8-86c4-86e6cd94d59a	unknown
