Temps (s),Altitude (km)
661.55,113.247
662.55,113.233
663.55,113.218
664.55,113.204
665.55,113.189
666.55,113.175
667.55,113.16
668.55,113.146
669.55,113.131
670.55,113.117
671.55,113.102
672.55,113.088
673.55,113.073
674.55,113.058
675.55,113.044
676.55,113.029
677.55,113.015
678.55,113.0
679.55,112.985
680.55,112.971
681.55,112.956
682.55,112.941
683.55,112.927
684.55,112.912
685.55,112.897
686.55,112.883
687.55,112.868
688.55,112.853
689.55,112.838
690.55,112.824
691.55,112.809
692.55,112.794
693.55,112.779
694.55,112.765
695.55,112.75
696.55,112.735
697.55,112.72
698.55,112.705
699.55,112.691
700.55,112.676
701.55,112.661
702.55,112.646
703.55,112.631
704.55,112.616
705.55,112.601
706.55,112.587
707.55,112.572
708.55,112.557
709.55,112.542
710.55,112.527
711.55,112.512
712.55,112.497
713.55,112.482
714.55,112.467
715.55,112.452
716.55,112.437
717.55,112.422
718.55,112.407
719.55,112.392
720.55,112.377
721.55,112.362
722.55,112.347
723.55,112.332
724.55,112.317
725.55,112.302
726.55,112.286
727.55,112.271
728.55,112.256
729.55,112.241
730.55,112.226
731.55,112.211
732.55,112.196
733.55,112.18
734.55,112.165
735.55,112.15
736.55,112.135
737.55,112.119
738.55,112.104
739.55,112.089
740.55,112.074
741.55,112.058
742.55,112.043
743.55,112.028
744.55,112.012
745.55,111.997
746.55,111.982
747.55,111.966
748.55,111.951
749.55,111.936
750.55,111.92
751.55,111.905
752.55,111.89
753.55,111.874
754.55,111.859
755.55,111.843
756.55,111.828
757.55,111.812
758.55,111.797
759.55,111.781
760.55,111.766
761.55,111.75
762.55,111.735
763.55,111.719
764.55,111.704
765.55,111.688
766.55,111.672
767.55,111.657
768.55,111.641
769.55,111.626
770.55,111.61
771.55,111.594
772.55,111.579
773.55,111.563
774.55,111.547
775.55,111.532
776.55,111.516
777.55,111.5
778.55,111.484
779.55,111.469
780.55,111.453
781.55,111.437
782.55,111.421
783.55,111.406
784.55,111.39
785.55,111.374
786.55,111.358
787.55,111.342
788.55,111.326
789.55,111.31
790.55,111.295
791.55,111.279
792.55,111.263
793.55,111.247
794.55,111.231
795.55,111.215
796.55,111.199
797.55,111.183
798.55,111.167
799.55,111.151
800.55,111.135
801.55,111.119
802.55,111.103
803.55,111.087
804.55,111.071
805.55,111.054
806.55,111.038
807.55,111.022
808.55,111.006
809.55,110.99
810.55,110.974
811.55,110.957
812.55,110.941
813.55,110.925
814.55,110.909
815.55,110.893
816.55,110.876
817.55,110.86
818.55,110.844
819.55,110.827
820.55,110.811
821.55,110.795
